date,region,service_type,demand_units,capacity_allocated,cost_usd,availability,is_weekend,market_demand_index,gdp_growth,customer_growth_rate,pricing_event,service_incident,industry_mix_index,predicted_demand
2022-01-02,uksouth,Compute,1418.0,1750.0,118.71,99.95,1,129.86,4.13,4.79,0,0,58.08,1241.101
2022-01-02,uksouth,Storage,546.0,,11.86,99.98,1,133.68,2.14,2.18,0,0,99.72,2203.6316
2022-01-03,eastus,Compute,2016.0,2482.0,175.58,99.94,0,127.46,3.37,3.63,0,0,63.26,1230.7292
2022-01-03,eastus,Storage,1314.0,1832.0,28.87,99.98,0,106.72,2.36,4.05,0,0,61.51,1300.3925
2022-01-03,westeurope,Compute,1505.0,1739.0,,99.87,0,132.02,4.35,5.53,0,1,96.42,1588.3887
2022-01-03,westeurope,Storage,872.0,1127.0,20.11,99.86,0,100.28,1.83,1.98,0,0,69.73,1275.605
2022-01-03,southeastasia,Compute,875.0,1130.0,71.38,99.94,0,134.5,1.66,3.35,0,0,84.85,1317.0763
2022-01-03,southeastasia,Storage,972.0,1252.0,20.95,99.91,0,97.81,3.22,0.95,1,0,59.71,1859.3134
2022-01-03,centralus,Compute,1003.0,1166.0,88.55,99.85,0,113.94,2.65,4.2,0,0,99.09,1189.085
2022-01-03,centralus,Storage,370.0,428.0,7.76,99.97,0,103.01,1.62,3.37,0,0,81.14,1566.1256
2022-01-03,uksouth,Compute,1708.0,2047.0,143.89,99.95,0,91.92,1.64,5.83,0,0,69.94,1293.9917
2022-01-03,uksouth,Storage,1053.0,1231.0,22.07,99.98,0,126.8,3.5,2.75,0,0,62.51,1349.039
2022-01-04,eastus,Compute,2107.0,2770.0,175.15,99.98,0,121.89,3.03,3.86,0,0,67.8,1210.8687
2022-01-04,eastus,Storage,1029.0,1206.0,21.72,99.89,0,133.98,1.78,0.59,0,0,67.32,1571.0968
2022-01-04,westeurope,Compute,2128.0,,182.98,99.94,0,87.27,2.44,3.94,0,0,82.93,2097.723
2022-01-04,westeurope,Storage,897.0,1243.0,,99.97,0,116.82,3.84,4.22,0,0,90.56,2111.5073
2022-01-04,southeastasia,Compute,1771.0,2207.0,157.48,99.98,0,94.79,1.43,1.05,1,0,84.15,1283.3754
2022-01-04,southeastasia,Storage,1010.0,,22.62,99.9,0,98.03,2.84,4.31,0,0,51.96,1322.4958
2022-01-04,centralus,Compute,1272.0,1552.0,104.63,99.96,0,125.34,4.47,2.77,0,0,67.04,1544.2539
2022-01-04,centralus,Storage,419.0,506.0,9.38,99.95,0,96.91,2.45,3.44,0,0,64.88,1531.366
2022-01-04,uksouth,Compute,1509.0,1739.0,133.46,99.86,0,100.97,4.34,5.73,0,0,72.42,1294.3826
2022-01-04,uksouth,Storage,279.0,359.0,5.96,99.98,0,124.06,1.57,5.62,0,0,52.79,1445.8613
2022-01-05,eastus,Compute,2173.0,2689.0,177.63,99.87,0,123.08,3.24,1.06,0,0,53.64,2175.0105
2022-01-05,eastus,Storage,1380.0,1615.0,29.1,99.99,0,103.71,2.42,4.97,0,0,87.67,1221.2626
2022-01-05,westeurope,Compute,,2388.0,157.85,99.95,0,97.44,2.29,2.89,0,0,78.57,1522.3235
2022-01-05,westeurope,Storage,1092.0,1287.0,24.38,99.95,0,114.17,4.38,2.56,0,0,61.18,1545.3622
2022-01-05,southeastasia,Compute,438.0,610.0,37.44,99.9,0,87.17,4.25,5.56,0,0,53.77,1259.7267
2022-01-05,southeastasia,Storage,198.0,262.0,4.34,99.94,0,114.22,4.17,0.75,0,0,94.51,1401.139
2022-01-05,centralus,Compute,1572.0,1939.0,129.21,99.94,0,104.41,1.96,1.96,0,0,72.66,1807.9457
2022-01-05,centralus,Storage,363.0,454.0,8.07,99.89,0,91.66,1.45,5.67,0,0,95.96,2236.3179
2022-01-05,uksouth,Compute,347.0,474.0,,99.85,0,103.82,3.87,5.93,0,0,69.04,2205.5513
2022-01-05,uksouth,Storage,1098.0,1492.0,24.08,99.91,0,98.67,1.39,5.26,0,0,99.83,1223.4984
2022-01-06,eastus,Compute,2574.0,3427.0,224.41,99.9,0,97.05,1.88,1.88,0,0,93.91,1531.8801
2022-01-06,eastus,Storage,931.0,1154.0,19.69,99.94,0,111.02,3.75,3.36,0,0,78.05,1326.9819
2022-01-06,westeurope,Compute,1433.0,1695.0,116.07,99.96,0,116.02,3.52,1.67,0,1,67.53,2245.5347
2022-01-06,westeurope,Storage,333.0,429.0,7.03,99.95,0,112.37,2.69,5.51,0,0,84.88,1573.2897
2022-01-06,southeastasia,Compute,1109.0,1532.0,,99.89,0,107.96,4.43,3.21,0,0,62.01,1330.4601
2022-01-06,southeastasia,Storage,263.0,310.0,5.58,99.87,0,117.04,1.8,2.4,0,0,83.38,1291.2744
2022-01-06,centralus,Compute,445.0,,36.57,99.89,0,93.85,1.49,1.16,0,0,68.21,1730.1462
2022-01-06,centralus,Storage,280.0,344.0,5.91,99.92,0,119.39,2.89,1.36,0,1,93.42,1787.2467
2022-01-06,uksouth,Compute,345.0,,28.47,99.9,0,109.23,3.24,2.53,0,0,51.83,1575.6827
2022-01-06,uksouth,Storage,518.0,684.0,11.79,99.95,0,86.52,4.06,2.45,0,0,86.87,1286.7579
2022-01-07,eastus,Compute,956.0,1300.0,77.92,99.92,0,96.66,2.33,3.11,0,0,73.98,2256.4932
2022-01-07,eastus,Storage,551.0,714.0,12.42,100.8,0,91.38,2.14,2.5,0,0,67.8,1304.6222
2022-01-07,westeurope,Compute,1587.0,2195.0,128.25,99.88,0,103.27,2.81,5.18,0,0,52.78,1224.4828
2022-01-07,westeurope,Storage,386.0,494.0,8.42,99.99,0,90.6,2.51,5.83,0,0,62.9,1178.6753
2022-01-07,southeastasia,Compute,813.0,1101.0,70.61,99.92,0,108.83,3.97,1.63,0,0,59.98,1453.9667
2022-01-07,southeastasia,Storage,689.0,812.0,15.33,100.8,0,114.06,1.71,3.15,0,0,66.83,2088.9673
2022-01-07,centralus,Compute,382.0,491.0,31.5,99.95,0,89.39,1.66,0.51,0,0,80.31,1859.9652
2022-01-07,centralus,Storage,702.0,970.0,,99.99,0,91.21,3.61,5.66,0,0,87.06,2207.3623
2022-01-07,uksouth,Compute,2738.0,3244.0,239.6,99.88,0,93.18,1.74,4.98,0,0,67.94,1506.2278
2022-01-07,uksouth,Storage,1010.0,1333.0,22.11,99.95,0,129.98,3.26,3.47,0,0,67.77,1774.6885
2022-01-08,eastus,Compute,1623.0,2086.0,,99.94,1,90.84,4.3,3.95,0,0,89.7,1577.5151
2022-01-08,eastus,Storage,1016.0,1356.0,22.52,99.99,1,122.62,3.53,4.78,0,0,85.7,2203.403
2022-01-08,westeurope,Compute,936.0,1156.0,82.12,99.87,1,127.32,1.62,2.69,0,0,61.46,2238.2725
2022-01-08,westeurope,Storage,1139.0,1313.0,25.3,99.93,1,120.81,3.18,5.05,0,0,61.37,1211.6448
2022-01-08,southeastasia,Compute,277.0,384.0,22.73,99.93,1,110.29,3.22,0.6,0,0,78.26,1538.0012
2022-01-08,southeastasia,Storage,407.0,,9.09,99.96,1,103.72,1.43,0.93,0,0,95.53,1417.9363
2022-01-08,centralus,Compute,1170.0,,96.33,99.97,1,101.61,2.23,1.75,0,0,87.21,1178.116
2022-01-08,centralus,Storage,369.0,424.0,7.98,99.91,1,111.87,4.24,2.4,0,0,72.61,1211.6106
2022-01-08,uksouth,Compute,2366.0,,194.6,99.92,1,105.95,4.22,2.49,0,0,50.65,2120.5332
2022-01-08,uksouth,Storage,590.0,822.0,12.93,99.93,1,128.03,2.97,1.51,0,0,69.87,1243.0406
2022-01-09,eastus,Compute,912.0,,75.23,99.88,1,86.83,2.76,3.61,0,0,72.66,1520.7261
2022-01-09,eastus,Storage,,541.0,9.37,99.96,1,90.15,2.3,0.92,0,0,94.87,1710.3677
2022-01-09,westeurope,Compute,528.0,610.0,43.34,99.95,1,117.95,1.29,1.72,0,0,50.99,1640.9735
2022-01-09,westeurope,Storage,232.0,299.0,5.3,99.93,1,121.04,3.86,5.94,0,0,98.13,1250.2025
2022-01-09,southeastasia,Compute,399.0,499.0,,99.86,1,116.66,3.63,5.16,0,0,82.15,1553.0402
2022-01-09,southeastasia,Storage,198.0,268.0,4.29,99.89,1,103.98,3.15,1.97,0,0,77.6,1289.7975
2022-01-09,centralus,Compute,1629.0,1962.0,145.04,99.96,1,90.71,3.07,5.92,0,0,74.24,2229.9165
2022-01-09,centralus,Storage,376.0,483.0,8.38,99.89,1,91.97,3.96,5.91,0,0,63.62,1280.3535
2022-01-09,uksouth,Compute,357.0,457.0,31.3,99.92,1,88.36,2.54,3.24,0,0,57.0,2001.3289
2022-01-09,uksouth,Storage,168.0,229.0,3.73,99.93,1,118.25,1.78,5.53,0,0,75.95,1150.5815
2022-01-10,eastus,Compute,627.0,836.0,51.07,99.93,0,97.27,2.48,2.09,0,0,64.86,1584.4283
2022-01-10,eastus,Storage,549.0,685.0,12.63,99.87,0,109.19,2.09,3.47,0,0,92.32,1334.8622
2022-01-10,westeurope,Compute,,1170.0,75.96,99.9,0,102.58,2.56,4.38,0,0,53.8,1220.6415
2022-01-10,westeurope,Storage,873.0,1155.0,18.77,99.93,0,103.05,1.5,5.55,0,0,72.3,1190.8273
2022-01-10,southeastasia,Compute,314.0,429.0,27.31,99.96,0,117.94,3.48,5.17,0,0,61.06,1563.0367
2022-01-10,southeastasia,Storage,645.0,748.0,14.48,99.98,0,94.03,3.07,5.54,1,0,64.87,1239.6904
2022-01-10,centralus,Compute,1221.0,1532.0,106.85,99.95,0,87.74,2.7,3.37,0,0,68.23,1473.5889
2022-01-10,centralus,Storage,951.0,1111.0,21.33,99.9,0,121.24,1.42,2.23,0,0,65.94,1195.1123
2022-01-10,uksouth,Compute,1148.0,,101.26,99.91,0,108.1,4.47,0.5,0,0,96.63,1996.578
2022-01-10,uksouth,Storage,422.0,566.0,9.19,99.92,0,116.38,4.08,5.91,0,0,71.07,2240.8638
2022-01-11,eastus,Compute,1006.0,1157.0,85.23,99.89,0,127.64,3.56,3.74,0,0,52.26,1241.2598
2022-01-11,eastus,Storage,801.0,1057.0,17.13,99.98,0,124.32,1.5,2.8,0,0,73.37,1186.9532
2022-01-11,westeurope,Compute,708.0,989.0,58.57,99.98,0,117.48,3.21,3.32,0,0,61.02,2241.6853
2022-01-11,westeurope,Storage,1217.0,1650.0,27.58,99.94,0,95.82,2.91,3.79,0,0,75.76,1704.9114
2022-01-11,southeastasia,Compute,1163.0,1382.0,101.98,99.88,0,96.19,2.97,3.76,0,0,93.87,1191.293
2022-01-11,southeastasia,Storage,477.0,605.0,10.02,99.97,0,86.77,2.29,5.62,0,0,62.63,1324.8667
2022-01-11,centralus,Compute,417.0,554.0,35.43,99.86,0,96.01,3.45,0.92,0,0,74.03,1293.5159
2022-01-11,centralus,Storage,616.0,796.0,13.77,99.93,0,128.22,3.62,3.37,0,0,57.87,1189.583
2022-01-11,uksouth,Compute,1254.0,1704.0,108.69,99.95,0,115.93,3.68,1.37,0,0,51.46,1981.0552
2022-01-11,uksouth,Storage,2307.0,2846.0,51.99,99.87,0,125.9,3.95,3.29,1,0,80.85,1203.1824
2022-01-12,eastus,Compute,2100.0,2475.0,176.3,99.85,0,125.93,1.62,2.06,1,0,92.01,1561.3099
2022-01-12,eastus,Storage,820.0,1134.0,17.32,99.98,0,119.39,1.42,2.16,0,0,79.11,2241.3347
2022-01-12,westeurope,Compute,4065.0,4721.0,358.36,99.99,0,133.44,3.67,1.22,0,0,51.11,1258.0999
2022-01-12,westeurope,Storage,1073.0,1453.0,23.02,99.85,0,92.95,2.75,5.69,0,0,76.35,1189.9573
2022-01-12,southeastasia,Compute,1109.0,1336.0,90.33,99.95,0,117.73,2.1,5.73,0,0,97.18,1377.9508
2022-01-12,southeastasia,Storage,235.0,286.0,5.42,99.91,0,129.7,1.96,1.67,1,0,68.43,1765.1812
2022-01-12,centralus,Compute,1972.0,2535.0,161.91,99.88,0,89.56,1.71,3.0,0,1,89.84,1391.749
2022-01-12,centralus,Storage,1041.0,1448.0,22.18,100.8,0,85.06,3.17,3.84,0,0,61.28,1277.6818
2022-01-12,uksouth,Compute,1411.0,1827.0,117.16,99.96,0,100.52,2.7,0.56,0,0,74.0,1891.6329
2022-01-12,uksouth,Storage,850.0,1117.0,19.18,99.98,0,130.39,3.59,4.62,0,0,78.55,1310.7192
2022-01-13,eastus,Compute,2612.0,3407.0,226.52,99.93,0,85.49,2.28,3.35,0,0,51.66,1529.0597
2022-01-13,eastus,Storage,387.0,476.0,8.92,99.88,0,119.66,3.91,0.73,0,0,56.21,2189.3684
2022-01-13,westeurope,Compute,3780.0,4929.0,324.93,99.89,0,131.76,4.33,3.94,0,0,74.22,1202.6196
2022-01-13,westeurope,Storage,820.0,1055.0,18.61,99.91,0,117.18,2.94,4.52,0,0,62.36,1140.172
2022-01-13,southeastasia,Compute,1223.0,1594.0,102.18,99.92,0,122.21,4.08,2.89,0,0,51.04,1256.0577
2022-01-13,southeastasia,Storage,882.0,,20.33,99.94,0,94.98,3.44,0.9,1,0,73.13,1275.6207
2022-01-13,centralus,Compute,1436.0,1800.0,126.29,99.94,0,121.77,3.73,3.28,0,0,79.4,1554.777
2022-01-13,centralus,Storage,493.0,626.0,11.25,99.98,0,106.09,2.11,3.76,0,0,81.15,1292.3356
2022-01-13,uksouth,Compute,360.0,425.0,31.26,100.8,0,93.98,1.98,5.84,0,0,74.61,1883.2471
2022-01-13,uksouth,Storage,525.0,656.0,11.66,99.93,0,118.13,1.51,4.09,0,0,92.9,1457.1624
2022-01-14,eastus,Compute,819.0,1100.0,,99.99,0,107.69,1.98,0.9,0,0,66.85,2185.1638
2022-01-14,eastus,Storage,745.0,903.0,,99.95,0,93.35,1.75,0.7,0,0,73.73,1248.4757
2022-01-14,westeurope,Compute,614.0,791.0,52.4,100.8,0,134.33,1.61,1.77,0,0,61.24,1530.581
2022-01-14,westeurope,Storage,855.0,1050.0,18.82,99.86,0,92.42,4.46,5.81,1,0,81.96,1171.9213
2022-01-14,southeastasia,Compute,1526.0,1851.0,129.99,99.9,0,111.61,1.61,1.23,0,0,86.64,1443.7391
2022-01-14,southeastasia,Storage,158.0,185.0,3.54,99.91,0,128.41,1.78,4.31,0,0,84.16,1175.8452
2022-01-14,centralus,Compute,511.0,693.0,45.02,99.96,0,90.66,3.83,5.55,0,0,91.34,1936.6257
2022-01-14,centralus,Storage,560.0,658.0,12.51,100.8,0,87.41,4.42,2.74,0,0,78.35,2247.7556
2022-01-14,uksouth,Compute,886.0,1162.0,77.31,99.98,0,106.91,4.17,5.33,0,0,68.78,1750.6786
2022-01-14,uksouth,Storage,1092.0,1345.0,24.34,99.94,0,113.17,2.46,3.52,0,0,72.22,1259.4081
2022-01-15,eastus,Compute,498.0,647.0,,99.94,1,108.17,2.45,5.25,0,0,51.28,1293.239
2022-01-15,eastus,Storage,376.0,446.0,8.29,99.88,1,108.83,2.5,3.52,0,0,76.06,1365.4243
2022-01-15,westeurope,Compute,367.0,422.0,,99.98,1,97.17,4.26,0.83,0,0,55.07,1207.3416
2022-01-15,westeurope,Storage,,733.0,13.55,99.93,1,100.57,3.21,4.44,0,0,56.09,1566.6714
2022-01-15,southeastasia,Compute,1533.0,2092.0,134.21,99.88,1,99.76,3.82,1.52,0,0,54.35,1251.4587
2022-01-15,southeastasia,Storage,835.0,969.0,18.61,99.98,1,115.08,3.9,5.36,0,0,80.55,1852.3859
2022-01-15,centralus,Compute,712.0,980.0,62.15,99.93,1,97.78,2.2,4.53,0,0,90.48,1334.6116
2022-01-15,centralus,Storage,867.0,1088.0,18.41,99.88,1,128.46,2.76,3.44,0,0,61.51,1238.0388
2022-01-15,uksouth,Compute,1700.0,2053.0,142.92,99.93,1,109.84,4.46,1.25,0,0,71.41,1258.29
2022-01-15,uksouth,Storage,302.0,348.0,6.54,99.96,1,115.16,2.31,5.48,0,0,82.26,1525.5361
2022-01-16,eastus,Compute,462.0,557.0,38.7,99.86,1,110.95,1.42,4.9,0,0,94.0,2103.5894
2022-01-16,eastus,Storage,883.0,1066.0,19.34,99.88,1,87.62,2.45,2.5,0,0,66.68,1328.9932
2022-01-16,westeurope,Compute,1102.0,1531.0,90.63,99.95,1,95.05,2.97,1.03,0,0,67.38,1319.0508
2022-01-16,westeurope,Storage,914.0,1262.0,19.57,99.91,1,92.62,4.48,5.6,0,0,76.05,1238.082
2022-01-16,southeastasia,Compute,606.0,,49.59,99.97,1,124.1,3.54,0.7,0,0,68.01,1523.007
2022-01-16,southeastasia,Storage,421.0,509.0,9.27,99.97,1,98.99,4.31,5.3,0,0,78.73,1199.5266
2022-01-16,centralus,Compute,1724.0,2072.0,152.85,99.87,1,125.87,2.46,5.33,0,0,89.5,1223.4003
2022-01-16,centralus,Storage,710.0,888.0,15.11,99.95,1,102.3,4.42,4.03,0,0,93.1,1976.2815
2022-01-16,uksouth,Compute,442.0,523.0,39.07,99.97,1,100.88,4.34,5.04,0,0,73.91,1264.461
2022-01-16,uksouth,Storage,655.0,766.0,14.81,99.87,1,114.71,4.29,5.32,0,0,50.02,1659.624
2022-01-17,eastus,Compute,500.0,656.0,41.02,99.86,0,124.04,2.72,0.82,0,0,84.75,2246.1433
2022-01-17,eastus,Storage,886.0,1056.0,18.66,99.96,0,98.27,1.79,4.3,0,0,61.44,1268.9104
2022-01-17,westeurope,Compute,540.0,662.0,46.47,99.92,0,106.3,1.63,5.38,0,0,68.39,1520.4546
2022-01-17,westeurope,Storage,325.0,388.0,7.07,99.98,0,97.43,1.64,2.8,0,0,84.05,1536.3668
2022-01-17,southeastasia,Compute,1767.0,2174.0,155.22,99.94,0,94.94,1.41,0.73,0,0,82.3,1208.1003
2022-01-17,southeastasia,Storage,462.0,548.0,9.79,99.97,0,97.17,3.35,4.96,0,0,69.62,1945.309
2022-01-17,centralus,Compute,,1465.0,92.25,99.89,0,119.41,2.64,1.9,0,0,95.09,1572.2341
2022-01-17,centralus,Storage,1160.0,1477.0,25.23,99.91,0,96.35,4.13,2.98,0,0,99.41,1194.791
2022-01-17,uksouth,Compute,434.0,503.0,35.36,99.95,0,88.6,1.44,0.57,0,0,67.66,2122.3523
2022-01-17,uksouth,Storage,579.0,806.0,13.3,99.96,0,102.74,2.56,3.52,0,0,71.21,1600.5624
2022-01-18,eastus,Compute,1888.0,2595.0,165.01,99.88,0,133.8,3.4,0.56,0,0,53.46,1185.623
2022-01-18,eastus,Storage,535.0,620.0,12.32,99.96,0,99.64,4.43,3.81,0,0,90.59,1247.4337
2022-01-18,westeurope,Compute,1607.0,1865.0,131.28,99.93,0,89.75,2.44,3.53,0,0,63.69,1295.0604
2022-01-18,westeurope,Storage,1179.0,,24.67,99.99,0,118.57,2.25,5.34,0,0,81.8,1240.1945
2022-01-18,southeastasia,Compute,1337.0,1818.0,116.24,99.96,0,117.81,1.79,3.5,0,0,52.16,1568.0427
2022-01-18,southeastasia,Storage,622.0,821.0,13.13,99.99,0,109.42,1.7,2.38,0,0,87.17,1181.0828
2022-01-18,centralus,Compute,1007.0,1300.0,87.21,99.97,0,116.81,3.71,1.38,0,1,62.33,1975.6451
2022-01-18,centralus,Storage,507.0,618.0,10.81,99.97,0,117.88,2.23,4.58,0,0,84.39,1689.0815
2022-01-18,uksouth,Compute,462.0,595.0,37.33,99.96,0,86.77,3.66,1.61,0,0,66.35,1731.1838
2022-01-18,uksouth,Storage,1017.0,1289.0,22.38,99.87,0,104.27,3.32,4.79,0,0,83.15,1777.3936
2022-01-19,eastus,Compute,1639.0,,140.98,99.9,0,124.71,1.51,3.74,0,0,53.24,1271.401
2022-01-19,eastus,Storage,709.0,939.0,14.9,99.92,0,114.97,3.19,0.63,0,0,57.45,1472.5111
2022-01-19,westeurope,Compute,1300.0,1750.0,,99.96,0,110.86,2.65,1.31,0,0,54.43,1289.4728
2022-01-19,westeurope,Storage,,1415.0,23.67,99.95,0,99.97,1.77,4.01,0,0,84.3,1443.5446
2022-01-19,southeastasia,Compute,,508.0,33.84,99.88,0,113.28,4.43,1.41,0,0,79.32,1302.9834
2022-01-19,southeastasia,Storage,869.0,1064.0,19.96,99.89,0,106.48,4.08,5.13,0,0,72.91,1339.998
2022-01-19,centralus,Compute,693.0,906.0,56.25,99.98,0,130.47,3.77,0.54,0,0,56.57,1540.5548
2022-01-19,centralus,Storage,888.0,1167.0,20.43,99.86,0,87.85,2.13,1.94,0,0,62.48,1217.807
2022-01-19,uksouth,Compute,1938.0,2446.0,,99.86,0,109.38,1.31,0.84,0,0,76.62,1592.8253
2022-01-19,uksouth,Storage,751.0,908.0,16.91,99.93,0,91.4,4.11,2.66,0,0,81.22,1347.7085
2022-01-20,eastus,Compute,678.0,823.0,58.52,100.8,0,113.27,2.73,5.85,0,0,55.7,1154.7312
2022-01-20,eastus,Storage,478.0,599.0,10.08,100.8,0,112.26,4.44,1.75,0,0,89.58,1199.2455
2022-01-20,westeurope,Compute,642.0,751.0,54.34,99.92,0,93.29,4.32,5.17,0,0,70.59,1352.3955
2022-01-20,westeurope,Storage,1061.0,1297.0,24.01,99.87,0,102.8,4.43,4.87,0,0,93.61,1184.6848
2022-01-20,southeastasia,Compute,1495.0,2002.0,127.32,99.88,0,128.89,4.1,5.29,0,0,99.25,1510.6833
2022-01-20,southeastasia,Storage,177.0,227.0,3.74,99.9,0,99.12,2.49,4.89,0,0,69.87,1225.8549
2022-01-20,centralus,Compute,2165.0,3011.0,178.57,99.92,0,99.36,3.82,3.68,0,0,69.8,1273.7352
2022-01-20,centralus,Storage,478.0,568.0,10.72,99.96,0,100.84,4.03,5.48,0,0,57.04,1202.62
2022-01-20,uksouth,Compute,4899.0,6728.0,422.84,99.87,0,107.02,3.23,0.96,0,0,75.26,1348.2994
2022-01-20,uksouth,Storage,185.0,235.0,3.92,99.95,0,101.15,4.49,5.89,0,0,84.34,1244.2007
2022-01-21,eastus,Compute,628.0,835.0,55.46,100.8,0,121.57,1.82,5.22,0,0,85.51,1518.3209
2022-01-21,eastus,Storage,769.0,1042.0,16.85,99.9,0,109.71,3.93,2.34,0,0,91.3,1223.921
2022-01-21,westeurope,Compute,660.0,828.0,58.37,100.8,0,94.56,3.23,2.9,0,0,90.31,2151.983
2022-01-21,westeurope,Storage,1258.0,1456.0,28.34,99.86,0,100.75,1.21,4.25,0,0,99.59,1281.0303
2022-01-21,southeastasia,Compute,1168.0,1442.0,102.92,99.88,0,103.02,1.43,4.7,0,0,95.18,1196.7089
2022-01-21,southeastasia,Storage,556.0,748.0,12.43,99.89,0,130.36,3.41,3.58,0,0,73.02,1367.1913
2022-01-21,centralus,Compute,,1332.0,94.96,99.96,0,108.95,1.26,2.82,1,0,56.37,1340.9137
2022-01-21,centralus,Storage,287.0,389.0,6.44,99.97,0,134.09,3.25,3.58,0,0,81.75,1158.9633
2022-01-21,uksouth,Compute,1474.0,1954.0,125.8,99.86,0,97.09,1.24,3.08,0,0,64.86,1272.2443
2022-01-21,uksouth,Storage,543.0,630.0,12.43,99.97,0,118.39,3.16,5.41,0,0,61.98,1176.0317
2022-01-22,eastus,Compute,1466.0,1843.0,121.72,99.96,1,113.67,3.37,1.89,0,0,86.88,1326.6926
2022-01-22,eastus,Storage,435.0,573.0,9.89,99.97,1,113.59,2.91,2.87,0,0,88.69,1236.7634
2022-01-22,westeurope,Compute,1099.0,1385.0,94.42,99.94,1,114.58,3.52,1.81,0,0,69.23,1318.4224
2022-01-22,westeurope,Storage,835.0,1158.0,18.55,99.95,1,110.31,3.29,0.89,0,0,73.62,1163.7012
2022-01-22,southeastasia,Compute,885.0,1070.0,75.0,99.91,1,108.65,3.25,3.08,0,0,79.54,1482.5582
2022-01-22,southeastasia,Storage,,2549.0,49.85,99.97,1,99.25,2.73,2.91,0,0,52.22,1507.6746
2022-01-22,centralus,Compute,559.0,655.0,48.07,99.87,1,102.26,2.87,5.31,0,0,99.64,1144.8364
2022-01-22,centralus,Storage,507.0,603.0,11.03,99.95,1,129.11,3.41,1.92,0,0,85.92,1286.7291
2022-01-22,uksouth,Compute,1230.0,,105.98,99.86,1,97.88,1.4,3.82,0,0,69.19,1243.1696
2022-01-22,uksouth,Storage,753.0,883.0,16.73,99.93,1,130.02,2.53,2.27,0,0,82.3,1204.0485
2022-01-23,eastus,Compute,622.0,807.0,,100.8,1,130.66,3.22,5.31,0,0,95.12,1497.2164
2022-01-23,eastus,Storage,1028.0,1436.0,23.34,99.95,1,111.62,2.68,0.96,0,0,90.4,1244.5927
2022-01-23,westeurope,Compute,1663.0,2215.0,143.51,99.97,1,119.62,2.62,4.2,0,0,89.45,1358.7693
2022-01-23,westeurope,Storage,386.0,480.0,8.45,99.93,1,122.97,1.53,5.39,1,0,51.37,1223.2218
2022-01-23,southeastasia,Compute,1465.0,1821.0,,99.91,1,92.13,4.14,2.4,0,0,82.29,1566.7322
2022-01-23,southeastasia,Storage,,569.0,10.64,99.89,1,118.86,3.2,2.51,0,0,72.7,1313.6888
2022-01-23,centralus,Compute,1799.0,2506.0,148.76,99.99,1,111.6,1.65,1.05,0,0,70.71,1439.13
2022-01-23,centralus,Storage,1496.0,1775.0,32.87,99.87,1,126.77,2.42,2.56,0,0,99.74,1250.4331
2022-01-23,uksouth,Compute,478.0,584.0,42.5,99.9,1,104.28,2.32,3.48,0,0,77.09,1144.3058
2022-01-23,uksouth,Storage,927.0,1168.0,19.99,99.89,1,94.73,1.39,2.38,0,0,77.89,1149.2216
